provider_id,provider_name,hq_address_1,hq_address_2,hq_borough,hq_city,hq_state,hq_postcode,provider_ein,provider_website,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
34,WEST SIDE CENTER FOR COMMUNITY LIFE INC,,,,,,,,,,,,,,,,
35,HARLEM DOWLING-WEST SIDE CTR FOR CHILDREN & FAMILY SERVICES,,,,,,,,,,,,,,,,
36,TEACHERS COLLEGE,,,,,,,,,,,,,,,,
37,SAMUEL FIELD YM & YWHA INC,,,,,,,,,,,,,,,,
38,HENRY STREET SETTLEMENT,,,,,,,,,,,,,,,,
39,AGAPE COMMUNITY SERVICES CORPO RATION,,,,,,,,,,,,,,,,
40,BRONXWORKS INC,60 East Tremont Avenue,,Bronx,Bronx,NY,10453,,,40.851063,-73.908004,205,14,23301,2007915,2028280020,Mount Hope
41,THE INSTITUTE FOR FAMILY HEALTH INC,,,,,,,,,,,,,,,,
42,NON TRADITIONAL EMPLOYMENT FOR WOMEN,,,,,,,,,,,,,,,,
43,ASTORIA QUEENS SHAREING & CAREING INC,,,,,,,,,,,,,,,,
44,FOOD BANK FOR NEW YORK CITY,39 Broadway,10th Floor,Manhattan,New York,NY,10006,13-3179546,www.foodbanknyc.org,40.706251,-74.012952,101,1,13,1000803,1000200004,Battery Park City-Lower Manhattan
45,RIVERDALE SENIOR SERVICES INC,,,,,,,,,,,,,,,,
46,SEPHARDIC COMMUNITY  YOUTH CENTER INC,,,,,,,,,,,,,,,,
47,FRIENDS OF THE HIGH LINE INC,,,,,,,,,,,,,,,,
48,GIVING ALTERNATIVE LEARNERS UPLIFTING OPPORTUNITIES INC,,,,,,,,,,,,,,,,
49,LOWER EASTSIDE GIRLS CLUB OF NY,,,,,,,,,,,,,,,,
50,SEEDS IN THE MIDDLE INC,,,,,,,,,,,,,,,,
51,HARLEM JUNIOR TENNIS AND EDUCATION PROGRAM INC,,,,,,,,,,,,,,,,
52,A BETTER JAMAICA INC,,,,,,,,,,,,,,,,
53,GIRLS WHO CODE INC,,,,,,,,,,,,,,,,
54,RIVERSTONE SENIOR LIFE SERVICES INC,,,,,,,,,,,,,,,,
55,"PROJECT LEAD, INC.",,,,,,,,,,,,,,,,
56,Queens Jewish Community Council inc,,,,,,,,,,,,,,,,
57,BETANCES HEALTH CENTER,,,,,,,,,,,,,,,,
58,THE HORTICULTURAL SOCIETY OF NEW YORK,,,,,,,,,,,,,,,,
59,JUNIOR ACHIEVEMENT OF NEW YORK INC,,,,,,,,,,,,,,,,
60,THE CENTER FOR ANTI-VIOLENCE EDUCATION INC,,,,,,,,,,,,,,,,
61,"CARMEL RICHMOND NURSING HOME, INC.",,,,,,,,,,,,,,,,
62,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION,,,,,,,,,,,,,,,,
63,"ON YOUR MARK, INC",,,,,,,,,,,,,,,,
64,NEW YORK CITY GAY AND LESBIAN ANTI-VIOLENCE PROJECT INC,116 Nassau Street,3rd Floor,Manhattan,New York,NY,10038,13-3149200,www.avp.org,40.710844,-74.006998,101,1,1501,1079094,1000920024,Battery Park City-Lower Manhattan
65,HANAC INC,,,,,,,,,,,,,,,,
66,FIRST FAITH BAPTIST CHURCH,,,,,,,,,,,,,,,,
67,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK INC,,,,,,,,,,,,,,,,
68,COALITION FOR HISPANIC FAMILY SERVICES,,,,,,,,,,,,,,,,
69,JAPANESE AMERICAN SOCIAL SERVICES,,,,,,,,,,,,,,,,
70,BROOKLYN COMMUNITY PRIDE CENTER INC,,,,,,,,,,,,,,,,
71,"CHARLES B. WANG COMMUNITY HEALTH CENTER, INC",,,,,,,,,,,,,,,,
72,Brooklyn Legal Services Corporation A,260 Broadway,,Brooklyn,Brooklyn,NY,11211,,,40.708935,-73.959386,301,33,525,3059650,3021400021,North Side-South Side
73,COMMUNITY CENTER OF THE ROCKAWAY PENINSULA  INC,,,,,,,,,,,,,,,,
74,SADIE NASH LEADERSHIP PROJECT INC,,,,,,,,,,,,,,,,
75,"TRANSITIONAL SERVICES FOR NEW YORK, INC",10-16 162 Street,,Queens,Whitestone,NY,11357,23-7376074,www.tsi.org,40.792241,-73.799889,407,19,991,4104035,4045790001,Whitestone
76,THE FORTUNE SOCIETY INC,29-76 Northern Blvd,,Queens,Long Island City,NY,11101,132645436,fortunesociety.org,40.750433,-73.935323,401,26,171,4003410,4002390049,Hunters Point-Sunnyside-West Maspeth
77,BE PROUD INC,,,,,,,,,,,,,,,,
78,CITY GROWERS INC,,,,,,,,,,,,,,,,
79,CENTER FOR COMPREHENSIVE HEALTH PRACTICE INC,,,,,,,,,,,,,,,,
80,CHINESE AMERICAN PLANNING COUNCIL INC,,,,,,,,,,,,,,,,
81,ARAB AMERICAN ASSOCIATION OF NY INC,,,,,,,,,,,,,,,,
82,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,247 W 37 Street,9th Floor,Manhattan,New York,NY,10018,13-1624178,www.jasa.org,40.753475,-73.990594,105,3,109,1014454,1007870011,Midtown-Midtown South
83,"New York United Jewish Association,Inc.",,,,,,,,,,,,,,,,
84,JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY INC,,,,,,,,,,,,,,,,
85,NEW YORK CITY PARENTS OF LESBIANS AND GAY MEN INC,,,,,,,,,,,,,,,,
86,THE POINT COMMUNITY DEVELOP- MENT CORP,,,,,,,,,,,,,,,,
87,"Lenny's Lighthouse, Inc.",,,,,,,,,,,,,,,,
88,MT. MORIAH A.M.E. CHURCH,,,,,,,,,,,,,,,,
89,NATIONAL COMMITTEE FOR FURTHERANCE OF JEWISH ED,,,,,,,,,,,,,,,,
90,The Rhapsody Players INC,,,,,,,,,,,,,,,,
91,LENOX HILL NEIGHBORHOOD HOUSE INC.,,,,,,,,,,,,,,,,
92,NEIGHBORHOOD COALITION FOR SHELTER INC,,,,,,,,,,,,,,,,
93,GETTING OUT AND STAYING OUT INC,75 E 116th St,,Manhattan,New York,NY,10029,061711370,,40.799656,-73.944034,111,8,184,1074189,1016220020,East Harlem North
94,BORO PARK JEWISH COMMUNITY COUNCIL INC,,,,,,,,,,,,,,,,
95,SERVICES NOW FOR ADULT PERSONS INC,,,,,,,,,,,,,,,,
96,LEGAL INFORMATION FOR FAMILIES TODAY,32 Court Street,,Brooklyn,,NY,11201,,,40.693014,-73.990758,302,33,9,3002248,3002550044,Brooklyn Heights-Cobble Hill
98,METROPOLITAN NEW YORK COORDINATING COUNCIL ON JEWISH POVERTY,77 Water Street 7th Floor,,Manhattan,New York,NY,10005,13-2738818,,40.704275,-74.008681,101,1,7,1000863,1000330001,Battery Park City-Lower Manhattan
99,GOOD SHEPHERD SERVICES,305 SEVENTH AVE 9TH FL,,Manhattan,New York,NY,10001,135598710,goodshepherds.org,40.746817,-73.993655,105,3,95,1015060,1008037502,Midtown-Midtown South
100,HUDSON RIVER PARK TRUST,,,,,,,,,,,,,,,,
101,THE YWCA OF BROOKLYN INC,,,,,,,,,,,,,,,,
102,"THE INTERFAITH CENTER OF NEW YORK, INC.",,,,,,,,,,,,,,,,
103,WORKFORCE PROFESSIONALS TRAINING INSTITUTE,,,,,,,,,,,,,,,,
104,STRYCKER'S BAY NEIGHBORHOOD COUNCIL INC,,,,,,,,,,,,,,,,
105,NEW ALTERNATIVES FOR CHILDREN INC,,,,,,,,,,,,,,,,
106,SUNSET PARK HEALTH COUNCIL INC,,,,,,,,,,,,,,,,
107,"THE OSBORNE ASSOCIATION, INC",809 Westchester Ave,,Bronx,Bronx,NY,10455,135563028,,40.819143,-73.902661,201,17,77,2004795,2026660041,Melrose South-Mott Haven North
108,CHRISTOPHER ROSE COMMUNITY EMPOWERMENT CAMPAIGN CRCEC,,,,,,,,,,,,,,,,
109,THE LESLIE-LOHMAN MUSEUM OF GAY AND LESBIAN ART,,,,,,,,,,,,,,,,
110,ST VINCENT'S SERVICES INC,,,,,,,,,,,,,,,,
111,VIETNAM VETERANS OF AMERICA CHAPTER 32 QUEENS NEW YORK INC,,,,,,,,,,,,,,,,
112,GENERATION CITIZEN INC,,,,,,,,,,,,,,,,
113,FOREST HILLS CHAMBER OF COMMERCE OF QUEENS INC,,,,,,,,,,,,,,,,
114,BLOOMINGDALE SCHOOL OF MUSIC,,,,,,,,,,,,,,,,
115,SESAME FLYERS INTERNATIONAL INC,,,,,,,,,,,,,,,,
116,CONTINENTAL CASUALTY COMPANY,,,,,,,,,,,,,,,,
117,Kings County Tennis League,,,,,,,,,,,,,,,,
118,GREATER NEW YORK COUNCILS BOY SCOUTS OF AMERICA,,,,,,,,,,,,,,,,
119,GRANDMAS LOVE INC,,,,,,,,,,,,,,,,
120,DOCTOR THEODORE A ATLAS FOUNDATION,,,,,,,,,,,,,,,,
121,NEWTOWN HISTORICAL SOCIETY,,,,,,,,,,,,,,,,
122,FLUSHING JEWISH COMMUNITY COUNCIL INC,,,,,,,,,,,,,,,,
123,THE ROMAN CATHOLIC CHURCH OF ST. MEL,,,,,,,,,,,,,,,,
124,INWOOD COMMUNITY SERVICES INC.,,,,,,,,,,,,,,,,
125,"INSTITUTE FOR COMMUNITY LIVING, INC.",,,,,,,,,,,,,,,,
126,ROOSEVELT ISLAND DISABLED ASSO CIATION,,,,,,,,,,,,,,,,
127,HIGHLAND PARK COMMUNITY DEVELOPMENT CORP.,,,,,,,,,,,,,,,,
128,"GILDA'S CLUB OF NYC, INC.,",,,,,,,,,,,,,,,,
129,EAC INC EDUCATION AND ASSISTANCE CORP,,,,,,,,,,,,,,,,
130,URBAN HEALTH PLAN INC,,,,,,,,,,,,,,,,
131,BIOBUS INC,,,,,,,,,,,,,,,,
132,LATINAS ON THE VERGE OF EXCELLENCE LOVE INC,,,,,,,,,,,,,,,,
133,"BOYS & GIRLS CLUB OF METRO QUEENS, INC",110-04 Atlantic Avenue,,Queens,Richmond Hill,NY,11419,,,40.691903,-73.835613,409,28,118,4197430,4093960001,Richmond Hill
134,CHILDREN'S ARTS & SCIENCE WORKSHOPS INC,,,,,,,,,,,,,,,,
135,UNITED TASK FORCE INC,,,,,,,,,,,,,,,,
136,RECREATIONAL INNERCITY SPORTS & EDUCATION INC.,,,,,,,,,,,,,,,,
137,109th Precinct Community Council,,,,,,,,,,,,,,,,
138,KIDS CREATIVE 404 INC,,,,,,,,,,,,,,,,
139,AMUDIM COMMUNITY RESOURCES INC,,,,,,,,,,,,,,,,
140,SOUTH ASIAN COUNCIL FOR SOCIAL SERVICES,,,,,,,,,,,,,,,,
141,BENSONHURST COUNCIL OF JEW- ISH ORGANIZATION INC,,,,,,,,,,,,,,,,
142,FIRST CHINESE PRESBYTERIAN COMM. AFFAIRS HOME ATTENDANT CORP,30 Broad St,6 Floor,Manhattan,New York,NY,10004,133011752,,40.70618,-74.01125,101,1,9,1000819,1000240029,Battery Park City-Lower Manhattan
143,BINA STROKE & BRAIN INJURY ASSISTANCE INC,,,,,,,,,,,,,,,,
144,Wesley Parrott Youth Programs Inc,,,,,,,,,,,,,,,,
145,SUNNYSIDE COMMUNITY SERVICES INC,,,,,,,,,,,,,,,,
146,"NEW YORK CARES, INC.",,,,,,,,,,,,,,,,
147,NYC VERRAZANO 10-13 ASSOCIATION INC,,,,,,,,,,,,,,,,
148,HOME HEALTH MANAGEMENT SERVICES INC,424 East 147 Street,4 Floor,Bronx,Bronx,NY,10455,133020559,,40.814344,-73.917762,201,8,43,2000506,2022910012,Mott Haven-Port Morris
149,LESBIAN AND GAY COMMUNITY SERVICE CENTER INC,,,,,,,,,,,,,,,,
150,"AFRICAN SERVICES COMMITTEE, INC",,,,,,,,,,,,,,,,
151,Brooklyn Center for Quality Life,,,,,,,,,,,,,,,,
152,"FUND FOR THE CITY OF NEW YORK, INC.","121 Avenue of the Americas, 6th Floor",,Manhattan,New York,NY,10013,132612524,www.fcny.org,40.723903,-74.00469,102,3,37,1083493,1004777501,SoHo-TriBeCa-Civic Center-Little Italy
153,Summer on the Hill,,,,,,,,,,,,,,,,
154,FEDERATION OF ORGANIZATIONS FOR THE NEW YORK STATE MENTALLY,,,,,,,,,,,,,,,,
155,ASSOCIATION OF COMMUNITY EMPLOYMENT PROGRAMS FOR THEHOMELESS,,,,,,,,,,,,,,,,
156,THE YOUNG AIRMANS ASSOCIATION,,,,,,,,,,,,,,,,
157,SAFE HORIZON INC,2 Lafayette Street,,,New York,NY,10007,,,,,,,,,,
158,"ILLUMINA, INC",,,,,,,,,,,,,,,,
159,ASSOCIATION TO BENEFIT CHILDREN,,,,,,,,,,,,,,,,
160,ADAPTIVE DESIGN ASSOCIATION INC,,,,,,,,,,,,,,,,
161,NYC AUTISM CHARTER SCHOOLS,,,,,,,,,,,,,,,,
162,MONTEFIORE MEDICAL CENTER,,,,,,,,,,,,,,,,
163,RIVERDALE NEIGHBORHOOD HOUSE INC,,,,,,,,,,,,,,,,
164,"Harlem Needle Arts, Inc.",,,,,,,,,,,,,,,,
165,"UNITED JEWISH ORGANIZATIONS OF WILLIAMSBURG, INC",,,,,,,,,,,,,,,,
166,PESACH TIKVAH HOPE DEVELOPMENT INC,,,,,,,,,,,,,,,,
167,SERVICE PROGRAM FOR OLDER PEOPLE INC,,,,,,,,,,,,,,,,
168,AND-HOF ANIMALS SANCTUARY FOR FARM ANIMALS INC,,,,,,,,,,,,,,,,
169,LOWER EAST SIDE CONSERVANCY,,,,,,,,,,,,,,,,
170,WHERE TO TURN INC,,,,,,,,,,,,,,,,
171,COMUNILIFE INC,,,,,,,,,,,,,,,,
172,NOTRE DAME SCHOOL OF MANHATTAN,,,,,,,,,,,,,,,,
173,CENTER FOR THE INTEGRATION AND ADVANCEMENT OF NEW AMERICANS,,,,,,,,,,,,,,,,
174,OPPORTUNITIES FOR A BETTER TOMORROW INC,,,,,,,,,,,,,,,,
175,NEW YORK COMMITTEE FOR OCCUPATIONAL SAFETY AND HEALTH INC,,,,,,,,,,,,,,,,
176,Van Cortlandt Titans Youth Football Program Inc,,,,,,,,,,,,,,,,
177,ZIMMER CLUB YOUTH CONSERVATION PROGRAM OF STATEN ISLAND INC,,,,,,,,,,,,,,,,
178,CARE FOR SPECIAL NEEDS CHILDREN FOUNDATION INC,,,,,,,,,,,,,,,,
179,COUNCIL OF JEWISH ORGANIZATIONS OF FLATBUSH INC,,,,,,,,,,,,,,,,
180,HETRICK-MARTIN INSTITUTE INC,,,,,,,,,,,,,,,,
181,ALLEY POND ENVIRONMENTAL CENTER INC,,,,,,,,,,,,,,,,
182,DAVIDSON COMMUNITY CENTER INC.,,,,,,,,,,,,,,,,
183,ACE AMERICAN INSURANCE CO.,,,,,,,,,,,,,,,,
184,KINGSBRIDGE HEIGHTS COMMUNITY CENTER INC,,,,,,,,,,,,,,,,
185,AMERICAN-ITALIAN CANCER FOUNDATION,,,,,,,,,,,,,,,,
186,ST JOHNS BREAD & LIFE PROGRAM INC,,,,,,,,,,,,,,,,
187,CONCOURSE VILLAGE INC SPECIAL ADULTS,,,,,,,,,,,,,,,,
188,POWERMYLEARNING INC,,,,,,,,,,,,,,,,
189,"CONNECT, INC.",,,,,,,,,,,,,,,,
190,GODDARD RIVERSIDE COMMUNITY CENTER,593 Columbus Avenue,,Manhattan,New York,NY,10024,,,40.788212,-73.970904,107,6,173,1079511,1012020001,Upper West Side
191,WORKING IN SUPPORT OF EDUCATION,,,,,,,,,,,,,,,,
192,NYSARC INC NEW YORK CITY CHAPTER,,,,,,,,,,,,,,,,
193,CHHAYA COMMUNITY DEVELOPMENT CORP,,,,,,,,,,,,,,,,
194,BONNIE BOYS CLUB INC.,,,,,,,,,,,,,,,,
195,EAST FLATBUSH VILLAGE INC,,,,,,,,,,,,,,,,
196,STATEN ISLAND YOUTH SOCCER LEAGUE INC,,,,,,,,,,,,,,,,
197,RISEBORO COMMUNITY PARTNERSHIP INC,565 Bushwick Avenue,,Brooklyn,Brooklyn,NY,11206,112453853,www.riseboro.org,40.699023,-73.935359,304,34,391,3071908,3031510012,Bushwick South
198,MANHATTAN LEGAL SERVICES,,,,,,,,,,,,,,,,
199,IlluminArt Productions,,,,,,,,,,,,,,,,
200,WOMEN FOR AFGHAN WOMEN INC,,,,,,,,,,,,,,,,
201,THE CHILDREN'S VILLAGE,One Echo Hills,,,Dobbs Ferry,NY,10522,131739945,,,,,,,,,
202,"RIVERDALE COMMUNITY CENTER, INC.",,,,,,,,,,,,,,,,
203,HEARTSHARE HUMAN SERVICES OF NEW YORK,,,,,,,,,,,,,,,,
204,THE YALDEINU SCHOOL,,,,,,,,,,,,,,,,
205,JEWISH INSTITUTE OF QUEENS,,,,,,,,,,,,,,,,
206,ROCKAWAY HOME ATTENDANT SERVICES INC,,,,,,,,,,,,,,,,
207,URBAN JUSTICE CENTER,40 Rector Street,9th floor,Manhattan,New York,NY,10006,13-3442022,www.urbanjustice.org,40.708356,-74.014814,101,1,13,1088750,1000557501,Battery Park City-Lower Manhattan
208,CARIBBEAN WOMENS HEALTH ASSOCIATION INC,,,,,,,,,,,,,,,,
209,"COMMUNITY HEALTH ACTION OF STATEN ISLAND, INC.",,,,,,,,,,,,,,,,
210,WENDY HILLIARD FOUNDATION,,,,,,,,,,,,,,,,
211,MID- BRONX SENIOR CITIZENS COUNCIL INC,,,,,,,,,,,,,,,,
212,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,,,,,,,,,,,,,,,,
213,HOMECREST COMMUNITY SERVICES INC,,,,,,,,,,,,,,,,
214,HARTFORD INSURANCE,,,,,,,,,,,,,,,,
215,Dancing Dreams,,,,,,,,,,,,,,,,
216,NEW YORK SCORES,,,,,,,,,,,,,,,,
217,CHURCH OF THE HOLY APOSTLES,,,,,,,,,,,,,,,,
218,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,,,,,,,,,,,,,,,,
219,"Two Bridges Neighborhood Council, Inc.",,,,,,,,,,,,,,,,
220,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,,,,,,,,,,,,,,,,
221,URBAN RESOURCE INSTITUTE,75 Broad Street,Suite 505,Manhattan,New York,NY,10004,11-2561648,www.urinyc.org,40.704541,-74.011552,101,1,9,1000849,1000290070,Battery Park City-Lower Manhattan
222,SBH COMMUNITY SERVICE NETWORK INC,,,,,,,,,,,,,,,,
223,BEDFORD STUYVESANT NEW BEGINNINGS CHARTER SCHOOL,,,,,,,,,,,,,,,,
224,CORO NEW YORK LEADERSHIP CEN- TER,,,,,,,,,,,,,,,,
225,"NAZARETH HOUSING, INC",,,,,,,,,,,,,,,,
226,THE CRENULATED COMPANY LTD,,,,,,,,,,,,,,,,
227,SHOREFRONT YM-YWHA OF BRIGHTON MANHATTAN BEACH INC,,,,,,,,,,,,,,,,
228,OHEL CHILDREN'S HOME AND FAMILY SERVICES INC.,,,,,,,,,,,,,,,,
229,ATLANTIC THEATER CO,,,,,,,,,,,,,,,,
230,East New York Restoration Local Development Corp,,,,,,,,,,,,,,,,
231,ESIS INC,,,,,,,,,,,,,,,,
232,GRAHAM-WINDHAM,,,,,,,,,,,,,,,,
233,THE COALITION FOR BEHAVIORAL HEALTH INC,,,,,,,,,,,,,,,,
234,FRESH YOUTH INITIATIVES INC,,,,,,,,,,,,,,,,
235,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORPORATION,,,,,,,,,,,,,,,,
236,"CROWN HEIGHTS YOUTH COLLECTIVE, INC.",,,,,,,,,,,,,,,,
237,TURNING POINT BROOKLYN INC,,,,,,,,,,,,,,,,
239,THE GREATER RIDGEWOOD RESTORATION CORPORATION,,,,,,,,,,,,,,,,
240,"CAMELOT OF STATEN ISLAND, INC",,,,,,,,,,,,,,,,
241,EMERALD ISLE IMMIGRATION CENTER INC,59-26 Woodside Avenue,,Queens,Woodside,NY,11377,,,40.745293,-73.905216,402,26,249,4031221,4013310054,Woodside
242,BIG BROTHERS BIG SISTERS OF NEW YORK CITY INC,,,,,,,,,,,,,,,,
243,LITTLE SISTERS OF THE ASSUMPTION FAM HEALTH SER,,,,,,,,,,,,,,,,
244,NEW YORK CITY ALLIANCE AGAINST SEXUAL ASSAULT,,,,,,,,,,,,,,,,
245,SERVICES AND ADVOCACY FOR GAY LESBIAN BISEXUAL AND TRANSGEND,,,,,,,,,,,,,,,,
246,TURNING POINT FOR WOMEN AND FAMILIES,,,,,,,,,,,,,,,,
247,MASA-MEXED INC,,,,,,,,,,,,,,,,
248,RAMAPO FOR CHILDREN INC,,,,,,,,,,,,,,,,
249,"VERA INSTITUTE OF JUSTICE, INC",,,,,,,,,,,,,,,,
250,RESOURCES FOR CHILDREN SPECIAL NEEDS INC,,,,,,,,,,,,,,,,
251,HEALTHCARE INDUSTRY GRANT CORP,,,,,,,,,,,,,,,,
252,ASSOCIATION OF THE BAR OF THE CITY OF NEW YORK FUND INC,,,,,,,,,,,,,,,,
253,RENAISSANCE YOUTH CENTER,,,,,,,,,,,,,,,,
254,CHURCHES UNITED FOR FAIR HOUSING INC,,,,,,,,,,,,,,,,
255,SEPTEMBER 11 FAMILY GROUP,,,,,,,,,,,,,,,,
256,FEDERATION OF ITALIAN-AMERICAN ORGANIZATIONS OF BROOKLYN LTD,,,,,,,,,,,,,,,,
257,GIRLS WRITE NOW INC,,,,,,,,,,,,,,,,
258,GUYANESE GIRLS ROCK FOUNDATION INC,,,,,,,,,,,,,,,,
259,NEIGHBORS ALLIED FOR GOOD GROWTH INC,,,,,,,,,,,,,,,,
260,NEW YORK POPS INC,,,,,,,,,,,,,,,,
261,PUBLIC UTILITY LAW PROJECT OF NEW YORK INC,,,,,,,,,,,,,,,,
262,MAKE MUSIC NEW YORK INC,,,,,,,,,,,,,,,,
263,DANCES FOR A VARIABLE POPULATION,,,,,,,,,,,,,,,,
264,BROADWAY MALL ASSOCIATION INC,,,,,,,,,,,,,,,,
265,NORTHERN MANHATTAN IMPROVEMENT CORPORATION,,,,,,,,,,,,,,,,
266,"ACMH, INC",,,,,,,,,,,,,,,,
267,CATHOLIC HEALTH CARE SYSTEM,,,,,,,,,,,,,,,,
268,RIVERDALE MENTAL HEALTH ASSOCIATION INC,,,,,,,,,,,,,,,,
269,ST. JOHN'S UNIVERSITY,,,,,,,,,,,,,,,,
270,"BioFire Diagnostics, LLC",,,,,,,,,,,,,,,,
271,ELITE LEARNERS INC,,,,,,,,,,,,,,,,
272,CHESS-IN-THE-SCHOOLS INC,,,,,,,,,,,,,,,,
273,YOUNG DANCERS IN REPERTORY INC,,,,,,,,,,,,,,,,
274,ASIAN AMERICAN FEDERATION INC,,,,,,,,,,,,,,,,
275,CEC STUYVESANT COVE INC,,,,,,,,,,,,,,,,
276,LIBERIAN CULTURAL ASSOCIATION INC,,,,,,,,,,,,,,,,
277,HELEN KELLER SERVICES,,,,,,,,,,,,,,,,
278,C C M S,,,,,,,,,,,,,,,,
279,Hub-Third Ave Merchants District Management Association Inc,,,,,,,,,,,,,,,,
280,EL PUENTE DE WILLIAMSBURG INC,,,,,,,,,,,,,,,,
281,PETER CARDELLA SENIOR CITIZEN CENTER INC.,,,,,,,,,,,,,,,,
282,YOUTH SERVICE OPPORTUNITIES PROJECT INC,,,,,,,,,,,,,,,,
283,NEW YORK CITY STREET TREE CONSORTIUM INC,,,,,,,,,,,,,,,,
284,ST EPHREM YOUTH PROGRAM INC,,,,,,,,,,,,,,,,
285,SHALOM TASK FORCE,,,,,,,,,,,,,,,,
286,THE SAMARITANS OF NEW YORK INC,,,,,,,,,,,,,,,,
287,"BAY RIDGE CENTER, INC",,,,,,,,,,,,,,,,
288,Richmond County Board of Advocates for Mental Health,,,,,,,,,,,,,,,,
289,YOUNG ADULT INSTITUTE INC,,,,,,,,,,,,,,,,
290,JEWISH COMMUNITY COUNCIL OF THE ROCKAWAY PENINSULA INC,,,,,,,,,,,,,,,,
291,"POLONIANS ORGANIZED TO MINISTER TO OUR COMMUNITY, INC",,,,,,,,,,,,,,,,
