contract_id,contract_number,start_date,end_date,amount,fiscal_year,purpose,program_id,provider_id,agency_name
63,CT126020201409946,07/01/2019,06/30/2020,30000,FY2020,To support Greener NYC environmentally friendly prog.,264,47,DYCD
64,CT126020201415467,07/01/2019,06/30/2020,89000,FY2020,To provide a Greener program that improves the environment,264,58,DYCD
65,CT126020201416569,07/01/2019,06/30/2020,82000,FY2020,Funds for computer based learning in each of the 51 CD.,264,59,DYCD
66,CT126020201414626,07/01/2019,06/30/2020,115500,FY2020,To support Empowerment self-defense & upstander program,264,60,DYCD
69,CT126020201415556,07/01/2019,06/30/2020,10000,FY2020,To support the recruitment & training of school age workers,264,63,DYCD
70,CT106920201407915,07/01/2019,06/30/2020,47500,FY2020,Provision of Legal Services for the Working Poor.,131,64,DSS
72,CT126020201409918,07/01/2019,06/30/2020,35000,FY2020,To fund SAT/PSAT Prep Classes and financial workshops.,264,66,DYCD
75,CT126020201417626,07/01/2019,06/30/2020,5000,FY2020,Support afterschool dance Arts & Literacy program at PS123k.,264,68,DYCD
76,CT106920201417836,07/01/2019,06/30/2020,3500,FY2020,Prov. of social svcs & community outreach to GBTQ and HIV,202,64,DSS
78,CT126020201413968,07/01/2019,06/30/2020,543500,FY2020,To fund programming of Youth Pride.,264,70,DYCD
81,CT106920201416571,07/01/2019,06/30/2020,100000,FY2020,Provision of Legal Services for Low-Income New Yorkers.,122,72,DSS
82,CT126020201413479,07/01/2019,06/30/2020,7000,FY2020,This program supports teen civic engagement curriculum,264,16,DYCD
83,CT126020201416507,07/01/2019,06/30/2020,20000,FY2020,Funds to provide computer based training and learning tech.,264,73,DYCD
84,CT126020201414672,07/01/2019,06/30/2020,25000,FY2020,DISCRETIONARY-YS,264,59,DYCD
85,CT126020201416501,07/01/2019,06/30/2020,7500,FY2020,Funds to be used for adult vocational trainings and classes,264,73,DYCD
86,CT126020201413150,07/01/2019,06/30/2020,133000,FY2020,To fund Sports Training and Rolemodels for Success program,264,74,DYCD
88,CT126020200001592,03/11/2019,03/10/2022,924300,FY2020,To support Community Based SYEP Older Youth,399,14,DYCD
89,CT126020201416841,07/01/2019,06/30/2020,4000,FY2020,To provide educational program for court involved students,264,76,DYCD
91,CT126020201417431,07/01/2019,06/30/2020,10000,FY2020,This program support develop basic job readiness skills,264,16,DYCD
92,CT126020201415980,07/01/2019,06/30/2020,19000,FY2020,Funds to be used for toy-drive  & elderly abuse program,264,77,DYCD
93,CT126020201416939,07/01/2019,06/30/2020,10000,FY2020,To support the Queens-based Youth Education & Career,264,76,DYCD
94,CT126020200000573,03/11/2019,03/10/2022,480000,FY2020,To fund School Based SYEP for Younger Youth programming,280,14,DYCD
95,CT126020201416936,07/01/2019,06/30/2020,5000,FY2020,To Provide food to over 275 pantries and soup kitchens,264,76,DYCD
96,CT126020201416711,07/01/2019,06/30/2020,92500,FY2020,To fund environmentally friendly educational programs.,264,78,DYCD
97,CT181620201416323,07/01/2019,06/30/2020,25000,FY2020,Opioid Prevention and Treatment,302,79,DOHMH
98,CT126020201415154,07/01/2019,06/30/2020,5000,FY2020,To provide support training for employment in construction,264,76,DYCD
100,CT126020201413711,07/01/2019,06/30/2020,126000,FY2020,To support after-school educational program,264,81,DYCD
101,CT106920201415303,11/01/2019,10/31/2024,1150000,FY2020,Senior Affordable Housing Tenant Svcs Beach Channel,116,82,DSS
102,CT126020201413894,07/01/2019,06/30/2020,93000,FY2020,To support educational and youth programming and activities,264,83,DYCD
103,CT126020201413480,07/01/2019,06/30/2020,4000,FY2020,This program support sports and  career development workshop,264,16,DYCD
104,CT126020201415992,07/01/2019,06/30/2020,67400,FY2020,Provides food to over 275 pantries & soup kitchens citywide.,264,84,DYCD
105,CT126020201415316,07/01/2019,06/30/2020,45000,FY2020,Support Safe Schools program & services to LGBT youth.,264,85,DYCD
106,CT126020201415517,07/01/2019,06/30/2020,20000,FY2020,To provide summer camp programming for local community youth,264,86,DYCD
107,CT126020201417236,07/01/2019,06/30/2020,10000,FY2020,Provides for special needs youth with behavioral disability.,264,87,DYCD
108,CT126020201416705,07/01/2019,06/30/2020,10000,FY2020,To provide food to over 275 food pantries and soup kitchens,264,88,DYCD
109,CT126020201414778,07/01/2019,06/30/2022,979908,FY2020,SoBro Cornerstone Davidson Comm. Ctr. STEM & Sports wellness,281,14,DYCD
110,CT126020201409991,07/01/2019,06/30/2022,228450,FY2020,"To provide peer support, good role models, and leadership.",286,14,DYCD
111,CT126020201415514,07/01/2019,06/30/2020,21046,FY2020,Provides food to over 275 pantries & soup kitchens citywide,264,89,DYCD
112,CT126020201417193,07/01/2019,06/30/2020,10000,FY2020,To fund costs related to production of musical concerts,264,90,DYCD
115,CT126020201409949,07/01/2019,06/30/2020,215500,FY2020,Provides Vocational Training and provide metrocards,264,93,DYCD
116,CT126020201416607,07/01/2019,06/30/2020,82047,FY2020,To fund food pantries and soup kitchens citywide.,264,94,DYCD
119,CT106920201417401,07/01/2019,06/30/2020,5000,FY2020,Provision of Legal Services for Veterans FY 20-09519,125,96,DSS
121,CT106920201417299,07/01/2019,06/30/2020,10000,FY2020,Funding to support casework: eviction and other social svcs.,119,98,DSS
122,CT181620201415767,07/01/2019,06/30/2020,150000,FY2020,Court-Involved Youth Mental Health Initiative,300,99,DOHMH
123,CT126020201413022,07/01/2019,06/30/2020,100000,FY2020,Provide STEM education and interactive community research.,264,100,DYCD
127,CT126020201413354,07/01/2019,06/30/2020,153600,FY2020,Provide Elementary Comprehensive Afterschool Services,271,104,DYCD
133,CT126020201412933,07/01/2019,06/30/2020,110000,FY2020,Funds for LGBT services consortium in the outer boroughs,264,109,DYCD
134,CT126020201414691,07/01/2019,06/30/2020,28000,FY2020,"To provide healthy development, academic support events",264,3,DYCD
135,CT126020201409920,07/01/2019,06/30/2022,1671315,FY2020,Wiyckoff Gardens Cornerstone,281,110,DYCD
136,CT106920201417298,07/01/2019,06/30/2020,7000,FY2020,"Provide nutrition, health education and related services.",134,44,DSS
137,CT126020201411858,07/01/2019,06/30/2020,5000,FY2020,This program offers support to veterans,264,111,DYCD
138,CT126020201409947,07/01/2019,06/30/2020,521500,FY2020,To support political participation and students of CUNY,264,112,DYCD
139,CT126020201416475,07/01/2019,06/30/2020,5000,FY2020,Fund free Jazz outdoor concerts during the summer.,264,113,DYCD
141,CT126020201409853,07/01/2019,06/30/2020,10000,FY2020,To support the expansion and enhancement of programming,264,47,DYCD
142,CT126020201409197,09/01/2019,08/31/2020,432000,FY2020,COMPASS Middle Program at IS 211- John Wilson School,279,115,DYCD
144,CT126020201417057,07/01/2019,06/30/2020,10000,FY2020,Support tennis programming for students ages 5-12 in NYCHA,264,117,DYCD
145,CT126020201416925,07/01/2019,06/30/2020,10000,FY2020,To fund community programming in neighborhood parks.,264,118,DYCD
146,CT126020201414017,07/01/2019,06/30/2020,5000,FY2020,To support the food program for underserved children,264,119,DYCD
148,CT126020201410880,07/01/2019,06/30/2020,5000,FY2020,This program offers historic cultural events.,264,121,DYCD
149,CT126020201409850,07/01/2019,06/30/2020,29000,FY2020,Provide food to over 275 pantries and soup kitchens,264,122,DYCD
150,CT126020201415977,07/01/2019,06/30/2020,5000,FY2020,To support Italian-American Association of St. Mel.,264,123,DYCD
151,CT126020201414479,09/01/2019,08/31/2020,362606,FY2020,COMPASS Middle School Program at IS 52.,279,124,DYCD
152,CT181620201415139,07/01/2019,06/30/2020,256103,FY2020,Psychological and Behavioral Health Services,300,125,DOHMH
154,CT126020201413891,07/01/2019,06/30/2020,25000,FY2020,Funding will be used to support VETCA program.,264,127,DYCD
156,CT181620201416221,07/01/2019,06/30/2020,100000,FY2020,"Clinical screenings, mental health assessment services etc",300,129,DOHMH
157,CT126020201411791,07/01/2019,06/30/2020,185000,FY2020,To provide literacy for adults and support sevices,400,130,DYCD
159,CT126020201416773,07/01/2019,06/30/2020,10000,FY2020,This program offers Greener NYC program to youth.,264,131,DYCD
160,CT126020201415042,07/01/2019,06/30/2020,29375,FY2020,Leadership development training programs for young women,264,132,DYCD
161,CT126020201410937,07/01/2019,06/30/2020,480000,FY2020,Comprehensive After School System of New York City,271,133,DYCD
162,CT126020201414853,07/01/2019,06/30/2020,25000,FY2020,To support SYEP Photography Workshop.,264,134,DYCD
163,CT126020201416771,07/01/2019,06/30/2020,5000,FY2020,This program offers conferences for community leaders.,264,135,DYCD
164,CT126020201412797,07/01/2019,06/30/2020,1773434,FY2020,To support Neighborhood Improvement Program (NIP),264,29,DYCD
165,CT126020201416246,07/01/2019,06/30/2020,5000,FY2020,To support sports programming costs at Middle School 72,264,136,DYCD
166,CT126020201416610,07/01/2019,06/30/2020,10000,FY2020,To fund National Night Out Against Crime and Family Fun Day.,264,137,DYCD
167,CT126020201413081,07/01/2019,06/30/2020,41000,FY2020,To support afterschool and summer programming for youth.,264,138,DYCD
168,CT126020201404898,07/01/2019,06/30/2020,20000,FY2020,This program offers youth crisis and drugs intervention.,264,139,DYCD
169,CT126020201415347,07/01/2019,06/30/2020,44500,FY2020,To support Neighborhood Improvement Program (NIP),264,29,DYCD
171,CT181620201415622,07/01/2019,06/30/2020,387500,FY2020,Medicaid Redesign Transition / Opioid Prevention Treatment,453,76,DOHMH
172,CT126020201407321,07/01/2019,06/30/2020,10000,FY2020,Funds to be used for charitable food distribution.,264,141,DYCD
173,CT106920201414618,04/01/2017,03/31/2020,1,FY2020,Provision of home care services for HRA home care program.,132,142,DSS
174,CT126020201415362,07/01/2019,06/30/2020,10000,FY2020,Funds will be used for office expenses for referral crisis,264,143,DYCD
175,CT126020201414313,07/01/2019,06/30/2020,5000,FY2020,"FUND MENTORING PROGRAM, COLLEGE AWARENESS, YOUTH LEADERSHIP",264,144,DYCD
176,CT181620201415856,07/01/2019,06/30/2020,86000,FY2020,Geriatric Mental Health,300,145,DOHMH
179,CT106920201414620,04/01/2017,03/31/2020,1,FY2020,Provision of home care srvcs for HRA home care srvc program.,125,148,DSS
180,CT126020201415260,07/01/2019,06/30/2020,1100000,FY2020,This fund support the after school program,264,16,DYCD
182,CT126020201415617,07/01/2019,06/30/2020,200000,FY2020,To  support LGBT Consortium services in the outer boroughs,264,149,DYCD
186,CT126020201412200,07/01/2019,06/30/2020,10000,FY2020,"To support literacy, performing arts, and physical therapy.",264,153,DYCD
188,CT126020201414705,07/01/2019,06/30/2020,406000,FY2020,To FUND CLEANING PROGRAMS IN SEVERAL DISTRICTS.,264,155,DYCD
189,CT126020201412650,07/01/2019,06/30/2020,10000,FY2020,Funds to support United Youth Aviators Aviation Summer Camp,264,156,DYCD
190,CT106920201415196,07/01/2019,06/30/2020,275000,FY2020,Prov. of Supportive Alternatives to Violent Encounters.,120,157,DSS
194,CT181620201415693,07/01/2019,06/30/2020,30000,FY2020,Autism Awareness,297,161,DOHMH
195,CT181620201415483,07/01/2019,06/30/2020,495506,FY2020,"Children Under Five Developmental, Psychological services",452,162,DOHMH
196,CT126020201410042,07/01/2019,06/30/2020,50000,FY2020,Funds provide recreational activities & Internships,264,163,DYCD
199,CT106920201414597,07/01/2019,06/30/2020,38750,FY2020,Funding to support programming to help low-income families,133,165,DSS
200,CT181620201415978,07/01/2019,06/30/2020,50000,FY2020,Recreational program children/ young adults with autism,297,166,DOHMH
201,CT181620201416158,07/01/2019,06/30/2020,17000,FY2020,Mental Health Services for Vulnerable Populations,300,167,DOHMH
202,CT126020201413895,07/01/2019,06/30/2020,100000,FY2020,TO CAPTURE AND RELOCATE WILD TURKEY,264,168,DYCD
205,CT126020201415407,07/01/2019,06/30/2020,5000,FY2020,"To Support ""A Day In The Life Of An Immigrant Child"" program",264,169,DYCD
206,CT126020201413969,07/01/2019,06/30/2020,80000,FY2020,"To support Literacy, English for Speakers of Other Languages",264,18,DYCD
207,CT126020201415661,07/01/2019,06/30/2020,300000,FY2020,"To FUND REMOVAL OF GRAFFITI, SNOW SHOVELING, WEED REMOVAL.",264,170,DYCD
208,CT181620201414552,07/01/2019,06/30/2020,400000,FY2020,Non-clinical suicide prevention services,300,171,DOHMH
209,CT126020201414341,07/01/2019,06/30/2020,5000,FY2020,To support Notre Dame School's summer youth program,264,172,DYCD
210,CT126020201415976,07/01/2019,06/30/2020,5000,FY2020,To fund immigrant assistance programs.,264,173,DYCD
211,CT126020201412811,11/01/2019,04/30/2023,4540650,FY2020,To support Advance & Earn programming citywide,294,174,DYCD
212,CT106920201415031,07/01/2019,06/30/2020,80000,FY2020,Outreach efforts & referral svcs to low-wage workers in need,120,175,DSS
213,CT126020201415043,07/01/2019,06/30/2020,5000,FY2020,Funding to support expenses associated with football team,264,176,DYCD
214,CT126020201415399,07/01/2019,06/30/2020,7000,FY2020,Support operating expenses associated with youth programming,264,177,DYCD
215,CT181620201415812,07/01/2019,06/30/2020,40000,FY2020,Social Club: socialization skills; counseling families,297,178,DOHMH
216,CT106920201414209,07/01/2019,06/30/2020,60000,FY2020,Provision of Immigrant Opportunities Initiative Services,120,179,DSS
217,CT181620201414616,07/01/2019,06/30/2020,1200000,FY2020,LGBTQ Youth Mental Health,300,180,DOHMH
218,CT126020201415183,07/01/2019,06/30/2020,138085,FY2020,To fund environmentally friendly programs.,264,181,DYCD
219,CT126020201415532,07/01/2019,06/30/2020,20000,FY2020,Funding will be used toward the DCC after-school program,264,182,DYCD
220,CT126020201414403,07/01/2019,06/30/2020,10000,FY2020,To support leadership training for young women and girls.,264,172,DYCD
221,CT126020201415041,07/01/2019,06/30/2020,17000,FY2020,Funds to support The L.O.V.E. mentoring program.,264,132,DYCD
223,CT126020201413925,07/01/2019,06/30/2020,47300,FY2020,To fund educational and recreational youth programming,264,184,DYCD
224,CT181620201414701,07/01/2019,06/30/2020,296103,FY2020,Court-Involved Youth Mental Health Initiative/ MH Services,300,6,DOHMH
227,CT126020201413651,07/01/2019,06/30/2020,86000,FY2020,Provide emergency meals in soup kitchen,264,186,DYCD
229,CT126020201415062,07/01/2019,06/30/2020,580000,FY2020,Funds for the Digital Inclusion and Literacy Program.,264,188,DYCD
232,CT126020201413187,07/01/2019,06/30/2020,70000,FY2020,To support A Greener NYC environmentally friendly programs,264,190,DYCD
233,CT126020201415287,07/01/2019,06/30/2020,30000,FY2020,"Provides basic Literacy, English for speakers/H.S Equv.",264,150,DYCD
234,CT126020201409901,07/01/2019,06/30/2020,23000,FY2020,provides financial literacy programs for youth.,264,191,DYCD
235,CT126020201412781,11/01/2019,04/30/2023,4765650,FY2020,To support Advance & Earn programming citywide,294,192,DYCD
236,CT126020201413921,07/01/2019,06/30/2020,59000,FY2020,"To fund career development, employment readiness, ESOL class",264,193,DYCD
237,CT106920201415901,07/01/2019,06/30/2020,20000,FY2020,Provision of Immigrant Opportunities Initiative Services,120,157,DSS
238,CT126020201412601,07/01/2019,06/30/2020,29250,FY2020,To support the Baseball program and purchase of equipment,264,194,DYCD
239,CT126020201412700,07/01/2019,06/30/2020,21500,FY2020,To fund after-school and summer programs for youth.,264,195,DYCD
240,CT126020201415766,07/01/2019,06/30/2020,7500,FY2020,To fund soccer league activities in CD 51.,264,196,DYCD
241,CT126020201414523,07/01/2019,06/30/2020,19000,FY2020,"To fund the cost of Adult Literacy, ESOL, & Civic Programs",264,18,DYCD
242,CT106920201414191,07/01/2019,06/30/2020,300000,FY2020,Legal Services for low-income New Yorkers.,125,197,DSS
243,CT106920201413310,07/01/2019,06/30/2020,38500,FY2020,Provision supports legal services for low income residents,120,198,DSS
244,CT181620201414495,07/01/2019,06/30/2020,50000,FY2020,Opioid Prevention and Treatment,302,199,DOHMH
245,CT126020201412815,07/01/2019,06/30/2020,39000,FY2020,To fund Boys2Manhood workshop and mentorship.,264,195,DYCD
246,CT126020201414104,07/01/2019,06/30/2020,56000,FY2020,To support educational and career opportunities.,264,200,DYCD
248,CT126020201409769,07/01/2019,06/30/2020,40000,FY2020,"To support recreational, cultural & social opportunites",264,202,DYCD
249,CT181620201414255,07/01/2019,06/30/2020,145540,FY2020,HeartShare's Cuomo First Step Early Childhood Center,302,203,DOHMH
250,CT181620201414491,07/01/2019,06/30/2020,60000,FY2020,Autism Awareness / Member Items,297,204,DOHMH
251,CT126020201413482,07/01/2019,06/30/2020,50000,FY2020,Fund will use for teen after-school civic engagement program,264,16,DYCD
252,CT126020201413847,07/01/2019,06/30/2020,180000,FY2020,To support the Emergency Food program.,264,205,DYCD
253,CT126020201412903,07/01/2019,06/30/2020,90000,FY2020,To support funding for after school program.,264,205,DYCD
254,CT106920201414366,04/01/2017,03/31/2020,1,FY2020,provision of Home Care Services for HCSP clients,132,206,DSS
255,CT106920201413234,07/01/2019,06/30/2020,75000,FY2020,Provision of Legal Services for Veterans,120,207,DSS
256,CT106920201413996,07/01/2019,06/30/2020,25000,FY2020,Provision of Immigration Opportunities Initiative Services,120,208,DSS
257,CT126020201413246,07/01/2019,06/30/2020,42000,FY2020,Funds used to provide food to 275 pantries and soup kitchens,264,209,DYCD
258,CT126020201414404,07/01/2019,06/30/2020,5000,FY2020,TO FUND GIRLS GYMNASTIC TEAM AND BASKETBALL PROGRAMMING.,264,210,DYCD
259,CT112520201413787,11/01/2019,06/30/2021,1276362,FY2020,PROVIDE SENIOR CENTER SERVICES TO OLDER ADULTS,464,211,DFTA
263,CT126020201415040,07/01/2019,06/30/2020,7500,FY2020,"Support expenses related to weekly classes, year-end perform",264,215,DYCD
264,CT126020201409904,07/01/2019,06/30/2020,5000,FY2020,This program offers afterschool literacy and sports programs,264,216,DYCD
265,CT126020201409844,07/01/2019,06/30/2020,29416,FY2020,"To support consumable supplies for soup kitchen,",264,217,DYCD
266,CT126020201413217,07/01/2019,06/30/2020,28500,FY2020,Fund will support the YMCA's Teen Journalism Program,264,16,DYCD
267,CT126020201412813,07/01/2019,06/30/2020,20000,FY2020,To fund computer based training and learning.,264,195,DYCD
272,CT126020201415271,07/01/2019,06/30/2020,10000,FY2020,To support Economic Empowerment/Training program,264,221,DYCD
273,CT126020201412904,07/01/2019,06/30/2020,29500,FY2020,To support the emergency food program for those in need.,264,205,DYCD
274,CT181620201413759,07/01/2019,06/30/2020,63000,FY2020,Screen older adults for depression and alcohol/substance use,300,222,DOHMH
275,CT126020201407248,07/01/2019,06/30/2020,5000,FY2020,To fund additional computer carts for each grade for compute,264,223,DYCD
277,CT126020201412276,07/01/2019,06/30/2020,130000,FY2020,To provide education for a youth fellowship program,264,224,DYCD
278,CT181620201414851,07/01/2019,06/30/2020,70000,FY2020,Fast Break Mental Health Program,300,159,DOHMH
279,CT126020201411360,07/01/2019,06/30/2020,37111,FY2020,Funding will support the operations of the Housing Stability,264,225,DYCD
280,CT126020201411283,07/01/2019,06/30/2020,50000,FY2020,Support swimming instruction for neighborhood youth.,264,226,DYCD
281,CT181620201414253,07/01/2019,06/30/2020,110046,FY2020,All-Together After School,300,227,DOHMH
282,CT181620201413607,07/01/2019,06/30/2020,97103,FY2020,"Developmental, Psychological and Behavioral Health Services",300,228,DOHMH
285,CT181620201413742,07/01/2019,06/30/2020,50000,FY2020,Autism Awareness,297,105,DOHMH
287,CT126020201411569,07/01/2019,06/30/2020,525250,FY2020,To support Youth Education Job Training Program & employment,264,174,DYCD
289,CT126020200000304,07/01/2019,06/30/2022,94740,FY2020,Provides instructions for youth boat making,285,191,DYCD
291,CT181620201414315,07/01/2019,06/30/2020,305000,FY2020,Court-Involved Youth Mental Health Initiative,300,233,DOHMH
292,CT126020201414551,07/01/2019,06/30/2020,5000,FY2020,To support operational intervention reading program,264,234,DYCD
293,CT181620201414746,07/01/2019,06/30/2020,50000,FY2020,Hands-on sessions for students with autism & staff,297,160,DOHMH
294,CT106920201413276,07/01/2019,06/30/2020,50000,FY2020,Provision of legal services for Affordable Housing Program,120,235,DSS
295,CT112520201413114,01/01/2020,06/30/2022,1506164,FY2020,PROVIDE CAREGIVER SERVICES TO THE ELDERLY,455,8,DFTA
296,CT126020201413639,07/01/2019,06/30/2020,26047,FY2020,this program offers food pantries supplies city-wide .,264,236,DYCD
297,CT126020201414927,07/01/2019,06/30/2020,15000,FY2020,To support programing and operational cost of Literacy,264,237,DYCD
299,CT126020201414750,07/01/2019,06/30/2020,10000,FY2020,To support a graffiti removal program.,264,239,DYCD
302,CT181620201413520,07/01/2019,06/30/2020,60000,FY2020,Geriatric Mental Health,300,241,DOHMH
303,CT126020201409139,07/01/2019,06/30/2020,1239000,FY2020,To fund youth mentoring programs in community based program.,264,242,DYCD
305,CT126020201413292,07/01/2019,06/30/2020,100000,FY2020,Leadership dev.training programs for young women & girl.,264,244,DYCD
306,CT181620201414074,07/01/2019,06/30/2020,86000,FY2020,Geriatric Mental Health,300,245,DOHMH
309,CT126020200002388,07/01/2019,06/30/2022,13486494,FY2020,To provide various services within NYC community centers,281,31,DYCD
310,CT126020201409572,07/01/2019,06/30/2020,85000,FY2020,To support workshops for immigrant rights and education,264,247,DYCD
312,CT181620201414734,07/01/2019,06/30/2020,124187,FY2020,Autism Awareness,297,248,DOHMH
313,CT126020201412768,07/01/2019,06/30/2020,90000,FY2020,"To fund cleaning services street sweeping, litter pickup",264,230,DYCD
315,CT181620201413681,07/01/2019,06/30/2020,284603,FY2020,"Developmental, Psychological and Behavioral Health Services",453,218,DOHMH
318,CT181620201414957,07/01/2019,06/30/2020,9000,FY2020,Autism Awareness,297,250,DOHMH
320,CT106920201406713,07/01/2019,06/30/2020,45000,FY2020,Provision of Immigrant Opportunities Initiative services.,120,252,DSS
321,CT126020201414643,07/01/2019,06/30/2020,20000,FY2020,To support civic engagement and existing work for youths.,264,253,DYCD
322,CT126020201413205,07/01/2019,06/30/2020,80000,FY2020,To fund after-school youth programs.,264,254,DYCD
323,CT126020201409241,07/01/2019,06/30/2020,25000,FY2020,To support music studio programming.,264,99,DYCD
324,CT126020201414416,07/01/2019,06/30/2020,12500,FY2020,Maintain the 9/11 Memorial and help with costs of events.,264,255,DYCD
325,CT126020201410232,07/01/2019,06/30/2020,275000,FY2020,Funds will support social services & community programming,264,256,DYCD
326,CT126020201409954,07/01/2019,06/30/2020,128000,FY2020,Provides mentoring programs to HS girls.,264,257,DYCD
327,CT126020201414629,07/01/2019,06/30/2020,5000,FY2020,To fund operational costs of the leadership academy.,264,258,DYCD
328,CT126020201414553,07/01/2019,06/30/2020,9000,FY2020,Support NAGs public outreach campaigns with staff & supplies,264,259,DYCD
330,CT126020201414628,07/01/2019,06/30/2020,5000,FY2020,Provide seniors with concert tickets at Forest Hills Stadium,264,260,DYCD
331,CT106920201414103,07/01/2019,06/30/2020,75000,FY2020,Legal Services for the Working Poor,120,261,DSS
332,CT126020201414101,07/01/2019,06/30/2020,12000,FY2020,To fund leadership development training programs for women,264,258,DYCD
333,CT126020201413780,07/01/2019,06/30/2020,5000,FY2020,To support the Martin Luther King Concert Series,264,262,DYCD
335,CT106920201413309,07/01/2019,06/30/2020,2000000,FY2020,Provision of Legal Services for Low-Income  New Yorkers,120,30,DSS
337,CT126020201413764,07/01/2019,06/30/2020,192500,FY2020,To support basic literacy and education.,400,106,DYCD
338,CT126020201414296,07/01/2019,06/30/2020,5000,FY2020,Maintenance and cleanup efforts for Council District 7.,264,264,DYCD
339,CT126020201407488,07/01/2019,06/30/2020,389500,FY2020,To assist in providing HES classes & employment readiness,264,265,DYCD
340,CT181620201412170,07/01/2019,06/30/2034,10500000,FY2020,Permanent & supportive housing for families and individuals,311,266,DOHMH
