site_id,provider_id,program_id,contract_id,agency_name,bbl,bin,community_board,council_district,latitude,longitude,nta,census_tract,catchment_type,catchment_zone,catchment_intersection_1,catchment_intersection_2,fixed_address,address_1,address_2,borough,city,state,postcode,site_name,site_budget,notes,accepts_dropins,language_taxonomy,service_taxonomy,population_taxonomy,service_setting_taxonomy,bp_category,bp_population,capacity,capacity_units,serves_food,catchment_description,state_senate_district,state_assembly_district
176,218,120,3120,DSS,3077630001,3214956,318,46,40.630799,-73.918478,BK58,720,,,,,true,1900A Ralph Ave,,brooklyn,brooklyn,NY,11203,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC_Brooklyn",2142429.42,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,21,59
177,218,120,3080,DSS,3038207501,3418179,305,42,40.664372,-73.896521,BK85,1130,,,,,true,560 Livonia Ave,1st floor,brooklyn,brooklyn,NY,11239,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC_Brooklyn",4299024.43,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,19,60
178,218,120,3080,DSS,3039580020,3402450,305,37,40.680824,-73.881858,BK82,1168,,,,,true,3060 Fulton St.,1st floor,brooklyn,brooklyn,NY,11207,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC_Brooklyn",0.00,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,18,54
179,218,120,3078,DSS,4101010015,4440641,412,27,40.704033,-73.798412,QN61,44601,,,,,true,161-10 Jamaica Ave.,5th floor,queens,jamaica,NY,11432,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC_Queens",6749253.66,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,14,32
180,218,120,3078,DSS,4155600017,4298245,414,31,40.603391,-73.751324,QN15,101001,,,,,true,1847 Mott Ave.,1st floor,queens,far rockaway,NY,11432,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC_Queens",0.00,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,10,23
181,197,120,2962,DSS,3034680065,3000000,304,37,40.680704,-73.906598,BK78,405,,,,,true,1875 Broadway,1st floor,brooklyn,brooklyn,NY,11212,RISEBORO COMMUNITY PARTNERSHIP_Brooklyn,2520032.83,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,18,55
182,197,120,2962,DSS,3035480001,3393311,316,41,40.663653,-73.921426,BK81,892,,,,,true,145 East 98th  St,2nd floor,brooklyn,brooklyn,NY,11212,RISEBORO COMMUNITY PARTNERSHIP_Brooklyn,0.00,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,20,55
183,197,120,2946,DSS,3031370001,3000000,304,34,40.699704,-73.936714,BK78,389,,,,,true,90 Beaver St,,brooklyn,brooklyn,NY,11206,RISEBORO COMMUNITY PARTNERSHIP_Brooklyn,2516684.90,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,18,53
184,197,120,2946,DSS,3033090002,3075697,304,37,40.698973,-73.91684,BK77,433,,,,,true,1475 Myrtle Ave,1st floor,brooklyn,brooklyn,NY,11237,RISEBORO COMMUNITY PARTNERSHIP_Brooklyn,0.00,,true,,"[""preventive services""]",,"[""office""]",,,,,false,,18,53
185,82,116,3267,DSS,,,,,,,,,borough,"[""brooklyn""]",,,false,,,,,,,JASA APS Bronx,,,false,"[""english"",""arabic"",""chinese-cantonese"",""chinese-mandarin"",""haitian creole"",""korean"",""russian"",""spanish""]","[""case management"",""client evaluation/assessment"",""client fiscal management"",""client monitoring""]","[""housing court involved"",""aging"",""adults"",""individuals with disabilities"",""ssd recipients"",""ssi recipients""]","[""court"",""home""]","[""housing"",""people with disabilities""]","[""seniors""]",300,people,false,,,
186,507,120,3079,DSS,2045420001,2054713,211,15,40.868024,-73.867283,BX07,336,,,,,true,2901 WHITE PLAINS ROAD,,bronx,bronx,NY,10467,CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NEW YORK_Bronx,0.00,,true,,,,,,,,,false,,36,80
187,507,120,3055,DSS,2038080038,2119153,209,18,40.828868,-73.851791,BX59,78,,,,,true,2155 BLACKROCK AVENUE,,bronx,bronx,NY,10472,CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NEW YORK_Bronx,0.00,,true,,,,,,,,,false,,34,87
188,659,126,1342,DSS,,,,,,,,,entire city,"[""all boroughs""]",,,false,,,,,,,Public High Schools throughout the Five Boroughs,1756489.35,Site Budget is only for City Funding (Not state or fedearl),false,"[""english"",""spanish""]","[""academic engagement"",""academic supports"",""behavioral counseling"",""clinical counseling""]","[""females"",""males"",""young adults""]","[""school""]","[""education""]","[""students""]",,,false,The Teen Relationship Abuse Prevention Program (RAPP) takes place in public high schools and middle schools throughout the five boroughs.,,
189,221,126,6953,DSS,,,,,,,,,entire city,"[""all boroughs""]",,,false,,,,,,,Middle and High Schools throughout the Five Boroughs,238135.62,The above is City Funding Only.  Services take place on  public school campuses across the city.,false,"[""english"",""spanish""]","[""academic engagement"",""academic supports"",""behavioral counseling"",""clinical counseling""]","[""young adults"",""females"",""males""]","[""school""]","[""education""]","[""students""]",,,false,,,
190,572,126,6831,DSS,,,,,,,,,entire city,"[""all boroughs""]",,,false,,,,,,,New York City Public Middle and High Schools,3332035.32,Amount is City Funding Only for three years of the contract.,false,"[""english"",""spanish""]","[""academic engagement"",""academic supports"",""behavioral counseling"",""clinical counseling""]","[""young adults"",""females"",""males""]","[""school""]","[""education""]","[""students""]",,,false,,,
191,684,126,6502,DSS,,,,,,,,,entire city,"[""all boroughs""]",,,false,,,,,,,Young Women's Initiative/GRL,250000.00,"To support the Grow, Rise, Lead (G.R.L) program that teaches adolescent girls empowering and preventive measures to deal with all forms of violence.",false,"[""english"",""spanish""]","[""counseling"",""clinical consultation"",""clinical counseling"",""independent living skills""]","[""young adults"",""females""]","[""clinical - outpatient""]","[""enrichment""]","[""youth (10+)"",""students""]",,,false,Clinical Social Work is done throughout city.,,
192,30,119,548,DSS,1000747501,1001162,101,1,40.70727,-74.004314,MN25,1502,,,,,true,199 WATER STREET,,manhattan,new york,NY,10038,The Legal Aid Society RII,1731915.00,,false,,"[""advocacy"",""human resources services""]",,,,,,,false,,26,65
193,446,119,669,DSS,1001480015,1001622,101,1,40.717362,-74.006897,MN24,33,,,,,true,40 WORTH STREET,Suite 606,manhattan,new york,NY,10013,Legal Service NYC RI,,,false,,,,,,,,,false,,26,66
194,446,119,754,DSS,1001480015,1001622,101,1,40.717362,-74.006897,MN24,33,,,,,true,40 WORTH STREET,Suite 606,manhattan,new york,NY,10013,Legal Services  NYC,,,false,,,,,,,,,false,,26,66
195,30,119,594,DSS,1000747501,1001162,101,1,40.70727,-74.004314,MN25,1502,,,,,true,199 WATER STREET,,manhattan,new york,NY,10038,The Legal Aid Society RI,,,false,,,,,,,,,false,,26,65
196,98,119,121,DSS,1000330001,1000863,101,1,40.704275,-74.008681,MN25,7,,,,,true,77 WATER STREET,7th floor,manhattan,new york,NY,10005,Metropolitan New Yourk Coordinating Council on Jewish Poverty,,,false,,,,,,,,,false,,26,65
197,98,119,121,DSS,1000330001,1000863,101,1,40.704275,-74.008681,MN25,7,,,,,true,77 WATER STREET,7th Floor,manhattan,new york,NY,10005,Metropolitan New York Coordinating Council On Jewish Poverty MOCS 02802 02806,10000.00,,false,,"[""advocacy"",""case management"",""eviction prevention""]","[""adults"",""aging"",""court involved"",""low income individuals""]",,,"[""seniors""]",,,false,,26,65
198,98,119,6687,DSS,1000330001,1000863,101,1,40.704275,-74.008681,MN25,7,,,,,true,77 WATER STREET,7th Floor,manhattan,new york,NY,10005,Metropolitan New York Coordinating Council On Jewish Poverty 02804,5000.00,"Residents of District 29, Queens",false,,"[""needs assessment""]",,,,,,,false,,26,65
199,98,119,6767,DSS,1000330001,1000863,101,1,40.704275,-74.008681,MN25,7,,,,,true,77 WATER STREET,,manhattan,new york,NY,10005,Metropolitan New York Coordinating Council On Jewish Poverty MOCS 02799,5000.00,,false,,"[""advocacy"",""case management"",""crisis intervention/management"",""eviction prevention"",""needs assessment""]","[""adults"",""aging"",""court involved"",""low income individuals""]",,,"[""seniors""]",,,false,,26,65
200,885,117,7158,DSS,1013147502,1037174,106,4,40.74991,-73.975061,MN19,88,,,,,true,633 3 AVENUE,,manhattan,new york,NY,10017,Service area IV Criminal Justice,,Career Advance assists individuals with job training skills and other support service that will lead to increase income.,false,,,,,,,,,false,,27,73
201,771,118,7137,DSS,5000050051,5000025,501,49,40.640558,-74.07569,SI22,3,,,,,true,60 BAY STREET,,staten is,staten island,NY,10301,"Servic Area V, Staten Island",,,false,,,,,,,,,false,,23,61
202,771,118,7150,DSS,1019300030,1058640,110,9,40.808638,-73.948582,MN11,222,,,,,true,2090 ADAM POWELL JR BOULEVARD,9th Floor,manhattan,new york,NY,10027,CC  Manhattan,,,false,,,,,,,,,false,,30,70
203,947,118,7161,DSS,4012740035,4029563,403,25,40.748991,-73.891561,QN28,289,,,,,true,74-09 37 AVENUE,,queens,jackson heights,NY,11372,EDSI CC- Queens,,,false,,,,,,,,,false,,13,39
204,771,118,7150,DSS,1019300030,1058640,110,9,40.808638,-73.948582,MN11,222,,,,,true,2090 ADAM C POWELL BOULEVARD,,manhattan,new york,NY,10027,CC - Manhattan,,,false,,,,,,,,,false,,30,70
205,656,118,7180,DSS,1012950023,1036147,106,4,40.750245,-73.976909,MN20,80,,,,,true,355 LEXINGTON AVENUE,2nd Floor,manhattan,new york,NY,10017,NADAP CC - Manhattan,,,false,,,,,,,,,false,,27,73
206,885,117,7158,DSS,1013147502,1037174,106,4,40.74991,-73.975061,MN19,88,,,,,true,633 THIRD AVENUE,,manhattan,new york,NY,10017,Fedcap CA Criminal Justice,,,false,,,,,,,,,false,,27,73
207,771,128,7122,DSS,1019300030,1058640,110,9,40.808638,-73.948582,MN11,222,,,,,true,2090 ADAM POWELL JR BOULEVARD,,manhattan,new york,NY,10027,Maximus YP_Assess-Manhattan / Maximus YP_Engage-Manhattan,,,false,,,,,,,,,false,,30,70
208,771,128,7134,DSS,1019300030,1058640,110,9,40.808638,-73.948582,MN11,222,,,,,true,2090 ADAM POWELL BOULEVARD,,manhattan,new york,NY,10027,Maximus YP_Assess-Manhattan / Maximus YP_Engage-Manhattan,,,false,,,,,,,,,false,,30,70
209,885,128,7133,DSS,2023270072,2097041,201,17,40.815736,-73.919342,BX34,65,,,,,true,369 EAST 148 STREET,,bronx,bronx,NY,10455,FedCap YP_ Assess-Bronx / FedCap YP_Engage-Bronx,,,false,,,,,,,,,false,,32,84
210,629,121,3118,DSS,3037770001,3328040,316,41,40.666184,-73.903097,BK81,910,,,,,true,330 POWELL STREET,,brooklyn,brooklyn,NY,11212,Brooklyn,,,false,,,,,,,,,false,,20,55
211,368,121,6839,DSS,1016830018,1052877,111,8,40.793172,-73.938558,MN34,180,,,,,true,335 EAST 111 STREET,,manhattan,new york,NY,10029,Manhattan,,,false,,,,,,,,,false,,29,68
212,38,121,6984,DSS,1003560001,1078047,103,2,40.720789,-73.978134,MN28,20,,,,,true,24 AVENUE D,,manhattan,new york,NY,10009,Manhattan,,,false,,,,,,,,,false,,26,74
213,40,121,7020,DSS,2026430001,2004558,201,8,40.815426,-73.908281,BX34,73,,,,,true,630 JACKSON AVENUE,,bronx,bronx,NY,10455,Bronx,,,false,,,,,,,,,false,,29,84
214,683,121,7164,DSS,2036530050,2118950,209,18,40.823998,-73.873893,BX09,28,,,,,true,1620 BRUCKNER BOULEVARD,,bronx,bronx,NY,10473,Bronx,,,false,,,,,,,,,false,,32,85
215,368,121,497,DSS,1004530034,1006478,103,2,40.729762,-73.984904,MN22,40,,,,,true,335 EAST 11 STREET,,manhattan,new york,NY,10003,Manhattan,,,false,,,,,,,,,false,,27,66
216,94,133,7177,DSS,3056420042,3328617,312,44,40.63357,-73.99006,BK88,236,,,,,true,4912 14 AVENUE,,brooklyn,brooklyn,NY,11219,Brooklyn,,,false,,,,,,,,,false,,17,48
217,165,133,199,DSS,3022160013,3335305,301,33,40.700432,-73.961086,BK72,537,,,,,true,32 PENN STREET,,brooklyn,brooklyn,NY,11249,UJO Brooklyn,,,false,,,,,,,,,false,,26,50
218,142,132,7017,DSS,1000240029,1000819,101,1,40.70618,-74.01125,MN25,9,,,,,true,30 BROAD STREET,6 Fl,manhattan,new york,NY,10004,First Chinese Presbyterian Community Affairs Home Attendant,0.00,,true,"[""english"",""chinese-cantonese"",""chinese-mandarin"",""chinese-other""]",,"[""victims/survivors of domestic violence"",""documented immigrants"",""individuals with disabilities""]","[""home""]","[""people with disabilities"",""health"",""enrichment""]","[""nycha residents"",""seniors"",""families"",""children (0-13)""]",,people,false,,26,65
219,668,132,7019,DSS,5044720001,5107641,503,51,40.564388,-74.131879,SI54,14606,,,,,true,3155 AMBOY ROAD,,staten is,staten island,NY,10306,Stella orton,0.00,,true,"[""english""]",,"[""adults"",""aging"",""children"",""individuals with disabilities""]","[""home""]","[""enrichment"",""people with disabilities"",""health""]","[""nycha residents"",""seniors"",""families"",""veterans""]",,people,false,,24,62
220,763,132,7022,DSS,4070750001,4439481,408,23,40.739731,-73.786165,QN41,1347,,,,,true,61-34 188 STREET,suite 219,queens,fresh meadows,NY,11365,POMONOK,0.00,,true,"[""english"",""russian"",""spanish""]",,"[""adults"",""children"",""individuals with disabilities""]","[""home""]","[""enrichment"",""people with disabilities"",""health""]","[""seniors"",""nycha residents"",""veterans""]",,people,false,,16,25
221,813,132,7023,DSS,,,,,,,,,other,,"270 Main St, Yorker, NY 10701",,false,,,,,,,Accent Care,0.00,,true,"[""english"",""russian"",""spanish""]",,"[""adults"",""children"",""individuals with disabilities""]","[""home""]","[""enrichment"",""people with disabilities"",""health""]","[""veterans"",""nycha residents"",""seniors"",""children (0-13)""]",,people,false,Main Office,,
222,674,132,7024,DSS,3027480021,3068417,301,34,40.716381,-73.946409,BK90,501,,,,,true,357 MANHATTAN AVENUE,,brooklyn,brooklyn,NY,11211,School Settlement,0.00,,true,"[""english"",""french"",""spanish"",""russian""]",,"[""adults"",""children"",""individuals with disabilities""]","[""home""]","[""enrichment"",""people with disabilities"",""health""]","[""veterans"",""nycha residents"",""seniors"",""children (0-13)""]",,people,false,,18,50
223,779,132,7025,DSS,3022707501,3424167,301,33,40.702105,-73.944975,BK75,507,,,,,true,89 BARTLETT STREET,,brooklyn,brooklyn,NY,11206,White Glove,0.00,,true,"[""english"",""arabic"",""chinese-cantonese"",""french"",""haitian creole"",""spanish""]",,"[""adults"",""children"",""individuals with disabilities""]","[""home""]","[""enrichment"",""people with disabilities"",""health""]","[""veterans"",""nycha residents"",""seniors"",""children (0-13)""]",,people,false,,18,53
